,GAME_ID,EVENTNUM,EVENTMSGTYPE,EVENTMSGACTIONTYPE,PERIOD,WCTIMESTRING,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,SCORE,SCOREMARGIN
0,42100306,2,12,0,1,8:47 PM,12:00,,Start of 1st Period (8:47 PM EST),,,
1,42100306,4,10,0,1,8:47 PM,12:00,Jump Ball Horford vs. Adebayo: Tip to Williams III,BOS,,,
2,42100306,7,5,1,1,8:47 PM,11:35,Tatum Bad Pass Turnover (P1.T1),,Tucker STEAL (1 STL),,
3,42100306,9,2,6,1,8:47 PM,11:23,,,MISS Lowry 2' Driving Layup,,
4,42100306,10,4,0,1,8:47 PM,11:21,Williams III REBOUND (Off:0 Def:1),,,,
5,42100306,12,5,39,1,8:47 PM,11:19,Williams III Step Out of Bounds Turnover (P1.T2),,,,
6,42100306,13,1,1,1,8:48 PM,11:15,,,Tucker 24' 3PT Jump Shot (3 PTS) (Butler 1 AST), 3 - 0,-3
7,42100306,15,2,1,1,8:48 PM,11:00,MISS Horford 26' 3PT Jump Shot,,,,
8,42100306,16,4,0,1,8:48 PM,10:58,,,Lowry REBOUND (Off:0 Def:1),,
9,42100306,17,1,5,1,8:48 PM,10:49,,,Butler 6' Layup (2 PTS) (Lowry 1 AST), 5 - 0,-5
10,42100306,19,1,1,1,8:48 PM,10:37,Tatum 26' 3PT Jump Shot (3 PTS) (Horford 1 AST),,, 5 - 3,-2
11,42100306,21,2,101,1,8:48 PM,10:25,,,MISS Adebayo 6' Driving Floating Jump Shot,,
12,42100306,22,4,0,1,8:48 PM,10:23,Tatum REBOUND (Off:0 Def:1),,,,
13,42100306,23,6,2,1,8:49 PM,10:11,,,Tucker S.FOUL (P1.T1) (C.Kirkland),,
14,42100306,25,3,11,1,8:49 PM,10:11,Tatum Free Throw 1 of 2 (4 PTS),,, 5 - 4,-1
15,42100306,26,3,12,1,8:49 PM,10:11,Tatum Free Throw 2 of 2 (5 PTS),,, 5 - 5,TIE
16,42100306,27,5,40,1,8:50 PM,10:02,,,Strus Out of Bounds Lost Ball Turnover (P1.T1),,
17,42100306,28,5,1,1,8:50 PM,9:43,Horford Bad Pass Turnover (P1.T3),,Butler STEAL (1 STL),,
18,42100306,30,1,50,1,8:50 PM,9:38,,,Strus 2' Running Dunk (2 PTS) (Butler 2 AST), 7 - 5,-2
19,42100306,32,2,1,1,8:51 PM,9:16,MISS Smart 27' 3PT Jump Shot,,,,
20,42100306,33,4,0,1,8:51 PM,9:13,,,Adebayo REBOUND (Off:0 Def:1),,
21,42100306,34,1,79,1,8:51 PM,9:02,,,Lowry 26' 3PT Pullup Jump Shot (3 PTS) (Adebayo 1 AST), 10 - 5,-5
22,42100306,36,2,79,1,8:51 PM,8:42,MISS Tatum 26' 3PT Pullup Jump Shot,,,,
23,42100306,37,4,0,1,8:51 PM,8:40,,,Lowry REBOUND (Off:0 Def:2),,
24,42100306,38,2,41,1,8:51 PM,8:37,Tatum BLOCK (1 BLK),,MISS Strus 4' Running Layup,,
25,42100306,40,4,0,1,8:51 PM,8:35,,,Tucker REBOUND (Off:1 Def:0),,
26,42100306,41,1,6,1,8:51 PM,8:26,,,Lowry 2' Driving Layup (5 PTS), 12 - 5,-7
27,42100306,42,9,1,1,8:51 PM,8:26,CELTICS Timeout: Regular (Full 1 Short 0),,,,
28,42100306,43,2,63,1,8:56 PM,8:07,MISS Williams III 6' Fadeaway Jumper,,,,
29,42100306,44,4,0,1,8:56 PM,8:04,Smart REBOUND (Off:1 Def:0),,,,
30,42100306,46,2,5,1,8:56 PM,8:02,MISS Horford 4' Layup,,Lowry BLOCK (1 BLK),,
31,42100306,48,4,0,1,8:56 PM,8:00,,,Heat Rebound,,
32,42100306,49,6,3,1,8:56 PM,8:00,Horford L.B.FOUL (P1.T1) (E.Lewis),,,,
33,42100306,51,2,79,1,8:56 PM,7:43,,,MISS Strus 25' 3PT Pullup Jump Shot,,
34,42100306,52,4,0,1,8:56 PM,7:42,Horford REBOUND (Off:0 Def:1),,,,
35,42100306,53,5,45,1,8:56 PM,7:34,Brown Out of Bounds - Bad Pass Turnover Turnover (P1.T4),,,,
36,42100306,54,6,1,1,8:57 PM,7:20,Horford P.FOUL (P2.T2) (C.Kirkland),,,,
37,42100306,56,8,0,1,8:57 PM,7:20,SUB: Williams FOR Horford,,,,
38,42100306,58,2,80,1,8:57 PM,7:07,,,MISS Lowry 32' 3PT Step Back Jump Shot,,
39,42100306,59,4,0,1,8:57 PM,7:06,,,Heat Rebound,,
40,42100306,60,5,11,1,8:57 PM,7:06,,,Heat Turnover: Shot Clock (T#2),,
41,42100306,61,2,3,1,8:58 PM,6:48,MISS Williams 4' Hook Shot,,,,
42,42100306,62,4,0,1,8:58 PM,6:46,CELTICS Rebound,,,,
43,42100306,64,1,52,1,8:58 PM,6:45,Williams III 3' Alley Oop Dunk (2 PTS) (Smart 1 AST),,, 12 - 7,-5
44,42100306,66,5,1,1,8:59 PM,6:30,Smart STEAL (1 STL),,Strus Bad Pass Turnover (P2.T3),,
45,42100306,68,6,28,1,8:59 PM,6:29,,,Tucker Personal Take Foul (P2.T2) (C.Kirkland),,
46,42100306,70,8,0,1,8:59 PM,6:29,,,SUB: Martin FOR Tucker,,
47,42100306,72,2,80,1,8:59 PM,6:18,MISS Brown 19' Step Back Jump Shot,,,,
48,42100306,73,4,0,1,8:59 PM,6:16,,,Butler REBOUND (Off:0 Def:1),,
49,42100306,74,1,6,1,8:59 PM,6:07,,,Butler 3' Driving Layup (4 PTS),14 - 7,-7
50,42100306,75,6,1,1,9:00 PM,5:57,,,Martin P.FOUL (P1.T3) (Z.Zarba),,
51,42100306,77,1,101,1,9:00 PM,5:46,Smart 6' Driving Floating Jump Shot (2 PTS),,,14 - 9,-5
52,42100306,78,1,1,1,9:00 PM,5:25,,,Butler 25' 3PT Jump Shot (7 PTS) (Lowry 2 AST),17 - 9,-8
53,42100306,80,2,86,1,9:01 PM,5:00,MISS Smart 9' Turnaround Fadeaway Shot,,,,
