,GAME_ID,EVENTNUM,EVENTMSGTYPE,EVENTMSGACTIONTYPE,PERIOD,WCTIMESTRING,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,SCORE,SCOREMARGIN
0,42100402,2,12,0,1,8:09 PM,12:00,,Start of 1st Period (8:09 PM EST),,,
1,42100402,4,10,0,1,8:09 PM,12:00,Jump Ball Looney vs. Williams III: Tip to Smart,BOS,,,
2,42100402,7,10,0,1,8:09 PM,11:47,Jump Ball Green vs. Horford: Tip to Williams III,,,,
3,42100402,10,5,45,1,8:10 PM,11:36,,,Smart Out of Bounds - Bad Pass Turnover Turnover (P1.T1),,
4,42100402,11,1,79,1,8:10 PM,11:25,Wiggins 25' 3PT Pullup Jump Shot (3 PTS) (Looney 1 AST),,,0 - 3,3
5,42100402,13,1,1,1,8:10 PM,11:16,,,Brown 27' 3PT Jump Shot (3 PTS), 3 - 3,TIE
6,42100402,14,5,1,1,8:10 PM,11:11,Curry Bad Pass Turnover (P1.T1),,Tatum STEAL (1 STL),,
7,42100402,16,6,28,1,8:10 PM,11:10,Looney Personal Take Foul (P1.T1) (J.Tiven),,,,
8,42100402,18,1,6,1,8:11 PM,10:57,,,Smart 10' Driving Layup (2 PTS) (Tatum 1 AST), 5 - 3,-2
9,42100402,20,2,1,1,8:11 PM,10:46,MISS Thompson 26' 3PT Jump Shot,,,,
10,42100402,21,4,0,1,8:11 PM,10:44,,,Williams III REBOUND (Off:0 Def:1),,
11,42100402,22,1,103,1,8:11 PM,10:39,,,Brown 26' 3PT Running Pull-Up Jump Shot (6 PTS) (Tatum 2 AST), 8 - 3,-5
12,42100402,24,1,7,1,8:11 PM,10:25,Looney 3' Dunk (2 PTS) (Wiggins 1 AST),,, 8 - 5,-3
13,42100402,26,1,75,1,8:11 PM,10:09,,,Tatum 3' Driving Finger Roll Layup (2 PTS), 10 - 5,-5
14,42100402,27,5,45,1,8:12 PM,9:51,Thompson Out of Bounds - Bad Pass Turnover Turnover (P1.T2),,,,
15,42100402,28,1,6,1,8:12 PM,9:36,,,Brown 7' Driving Layup (8 PTS) (Smart 1 AST), 12 - 5,-7
16,42100402,30,6,2,1,8:12 PM,9:36,Wiggins S.FOUL (P1.T2) (T.Brothers),,,,
17,42100402,32,3,10,1,8:13 PM,9:36,,,Brown Free Throw 1 of 1 (9 PTS),13 - 5,-8
18,42100402,33,2,75,1,8:13 PM,9:23,MISS Curry 8' Driving Finger Roll Layup,,Williams III BLOCK (1 BLK),,
19,42100402,34,4,0,1,8:13 PM,9:20,,,Williams III REBOUND (Off:0 Def:2),,
20,42100402,35,2,103,1,8:13 PM,9:18,,,MISS Tatum 26' 3PT Running Pull-Up Jump Shot,,
21,42100402,36,4,0,1,8:13 PM,9:17,WARRIORS Rebound,,,,
22,42100402,38,2,6,1,8:13 PM,9:05,MISS Wiggins 3' Driving Layup,,Horford BLOCK (1 BLK),,
23,42100402,40,4,0,1,8:13 PM,9:02,,,Brown REBOUND (Off:0 Def:1),,
