,GAME_ID,EVENTNUM,EVENTMSGTYPE,EVENTMSGACTIONTYPE,PERIOD,WCTIMESTRING,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,SCORE,SCOREMARGIN
0,42100305,2,12,0,1,8:48 PM,12:00,,Start of 1st Period (8:48 PM EST),,,
1,42100305,4,10,0,1,8:48 PM,12:00,Jump Ball Adebayo vs. Williams III: Tip to Tucker,MIA,,,
2,42100305,7,2,101,1,8:48 PM,11:35,MISS Butler 9' Driving Floating Jump Shot,,,,
3,42100305,8,4,0,1,8:48 PM,11:33,Tucker REBOUND (Off:1 Def:0),,,,
4,42100305,9,2,1,1,8:49 PM,11:29,MISS Lowry 25' 3PT Jump Shot,,,,
5,42100305,10,4,0,1,8:49 PM,11:29,,,Horford REBOUND (Off:0 Def:1),,
6,42100305,11,2,86,1,8:49 PM,11:13,,,MISS Brown 8' Turnaround Fadeaway Shot,,
7,42100305,12,4,0,1,8:49 PM,11:11,Butler REBOUND (Off:0 Def:1),,,,
8,42100305,13,2,79,1,8:49 PM,10:55,MISS Strus 26' 3PT Pullup Jump Shot,,,,
9,42100305,14,4,0,1,8:49 PM,10:53,Tucker REBOUND (Off:2 Def:0),,,,
10,42100305,15,6,1,1,8:49 PM,10:51,,,Brown P.FOUL (P1.T1) (M.Davis),,
11,42100305,17,2,79,1,8:50 PM,10:39,MISS Butler 18' Pullup Jump Shot,,,,
12,42100305,18,4,0,1,8:50 PM,10:37,,,Williams III REBOUND (Off:0 Def:1),,
13,42100305,19,2,1,1,8:50 PM,10:11,,,MISS Tatum 27' 3PT Jump Shot,,
14,42100305,20,4,0,1,8:50 PM,10:09,Strus REBOUND (Off:0 Def:1),,,,
15,42100305,21,2,98,1,8:50 PM,10:04,MISS Butler 2' Cutting Layup Shot,,,,
16,42100305,22,4,0,1,8:50 PM,10:02,,,Brown REBOUND (Off:0 Def:1),,
17,42100305,23,2,66,1,8:51 PM,9:40,,,MISS Horford 7' Jump Bank Shot,,
18,42100305,24,4,0,1,8:51 PM,9:38,,,Williams III REBOUND (Off:1 Def:1),,
19,42100305,25,1,72,1,8:51 PM,9:37,,,Williams III 2' Putback Layup (2 PTS), 2 - 0,-2
20,42100305,26,2,80,1,8:51 PM,9:13,MISS Butler 17' Step Back Jump Shot,,,,
21,42100305,27,4,0,1,8:51 PM,9:10,,,Horford REBOUND (Off:0 Def:2),,
22,42100305,28,1,5,1,8:51 PM,9:04,,,Williams III 2' Layup (4 PTS) (Smart 1 AST), 4 - 0,-4
23,42100305,30,6,1,1,8:52 PM,8:49,,,Smart P.FOUL (P1.T2) (M.Davis),,
24,42100305,32,1,6,1,8:52 PM,8:36,Butler 2' Driving Layup (2 PTS) (Strus 1 AST),,, 4 - 2,-2
25,42100305,34,6,2,1,8:52 PM,8:18,Butler S.FOUL (P1.T1) (M.Davis),,,,
26,42100305,36,3,11,1,8:53 PM,8:18,,,MISS Tatum Free Throw 1 of 2,,
27,42100305,37,4,1,1,8:53 PM,8:18,,,Celtics Rebound,,
28,42100305,38,3,12,1,8:53 PM,8:18,,,Tatum Free Throw 2 of 2 (1 PTS), 5 - 2,-3
29,42100305,39,6,1,1,8:53 PM,8:09,,,Smart P.FOUL (P2.T3) (J.Tiven),,
30,42100305,41,8,0,1,8:54 PM,8:09,,,SUB: White FOR Smart,,
31,42100305,43,2,80,1,8:54 PM,7:55,MISS Tucker 3PT Step Back Jump Shot,,,,
32,42100305,44,4,0,1,8:54 PM,7:51,,,Williams III REBOUND (Off:1 Def:2),,
33,42100305,45,2,80,1,8:54 PM,7:42,,,MISS Brown 19' Step Back Jump Shot,,
34,42100305,46,4,0,1,8:54 PM,7:39,Tucker REBOUND (Off:2 Def:1),,,,
35,42100305,47,5,45,1,8:55 PM,7:23,Lowry Out of Bounds - Bad Pass Turnover Turnover (P1.T1),,,,
36,42100305,48,1,78,1,8:55 PM,7:09,,,White 6' Floating Jump Shot (2 PTS) (Tatum 1 AST), 7 - 2,-5
37,42100305,50,1,73,1,8:55 PM,6:47,Adebayo 2' Driving Reverse Layup (2 PTS),,, 7 - 4,-3
38,42100305,51,2,1,1,8:55 PM,6:36,,,MISS Horford 3PT Jump Shot,,
39,42100305,52,4,0,1,8:56 PM,6:33,Strus REBOUND (Off:0 Def:2),,,,
40,42100305,53,2,1,1,8:56 PM,6:23,MISS Butler 3PT Jump Shot,,,,
41,42100305,54,4,0,1,8:56 PM,6:22,Butler REBOUND (Off:1 Def:1),,,,
42,42100305,55,2,71,1,8:56 PM,6:13,MISS Butler 4' Finger Roll Layup,,,,
43,42100305,56,4,0,1,8:56 PM,6:07,Adebayo REBOUND (Off:1 Def:0),,,,
44,42100305,57,1,107,1,8:56 PM,6:07,Adebayo Tip Dunk Shot (4 PTS),,, 7 - 6,-1
45,42100305,58,2,86,1,8:56 PM,6:03,,,MISS Tatum 16' Turnaround Fadeaway Shot,,
46,42100305,59,4,0,1,8:56 PM,6:03,Lowry REBOUND (Off:0 Def:1),,,,
47,42100305,60,2,86,1,8:56 PM,5:44,MISS Adebayo 6' Turnaround Fadeaway Shot,,,,
48,42100305,61,4,0,1,8:56 PM,5:42,,,Tatum REBOUND (Off:0 Def:1),,
49,42100305,62,1,100,1,8:56 PM,5:39,,,Horford 2' Running Alley Oop Layup Shot (2 PTS) (White 1 AST), 9 - 6,-3
50,42100305,64,2,1,1,8:57 PM,5:25,MISS Tucker 26' 3PT Jump Shot,,,,
51,42100305,65,4,0,1,8:57 PM,5:22,,,Williams III REBOUND (Off:1 Def:3),,
52,42100305,66,1,101,1,8:57 PM,5:18,,,White 3' Driving Floating Jump Shot (4 PTS) (Tatum 2 AST), 11 - 6,-5
53,42100305,68,9,1,1,8:57 PM,5:18,HEAT Timeout: Regular (Full 1 Short 0),,,,
54,42100305,69,8,0,1,8:57 PM,5:18,SUB: Vincent FOR Lowry,,,,
55,42100305,70,8,0,1,8:57 PM,5:18,SUB: Oladipo FOR Adebayo,,,,
56,42100305,71,8,0,1,8:57 PM,5:18,,,SUB: Williams FOR Williams III,,
57,42100305,75,5,1,1,9:01 PM,5:05,Oladipo Bad Pass Turnover (P1.T2),,Brown STEAL (1 STL),,
58,42100305,77,5,2,1,9:01 PM,5:01,Tucker STEAL (1 STL),,Brown Lost Ball Turnover (P1.T1),,
59,42100305,79,1,98,1,9:01 PM,4:52,Tucker 2' Cutting Layup Shot (2 PTS) (Butler 1 AST),,, 11 - 8,-3
60,42100305,81,5,2,1,9:01 PM,4:34,Oladipo STEAL (1 STL),,Brown Lost Ball Turnover (P2.T2),,
