,GAME_ID,EVENTNUM,EVENTMSGTYPE,EVENTMSGACTIONTYPE,PERIOD,WCTIMESTRING,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,SCORE,SCOREMARGIN
0,42100406,2,12,0,1,9:08 PM,12:00,,Start of 1st Period (9:08 PM EST),,,
1,42100406,4,10,0,1,9:08 PM,12:00,Jump Ball Williams III vs. Green: Tip to Smart,BOS,,,
2,42100406,7,6,2,1,9:08 PM,11:46,,,Thompson S.FOUL (P1.T1) (Z.Zarba),,
3,42100406,9,3,11,1,9:09 PM,11:46,Horford Free Throw 1 of 2 (1 PTS),,,0 - 1,1
4,42100406,10,3,12,1,9:09 PM,11:46,Horford Free Throw 2 of 2 (2 PTS),,,0 - 2,2
5,42100406,11,1,78,1,9:09 PM,11:33,,,Green 10' Floating Jump Shot (2 PTS) (Curry 1 AST), 2 - 2,TIE
6,42100406,13,2,86,1,9:10 PM,11:11,MISS Smart 14' Turnaround Fadeaway Shot,,,,
7,42100406,14,4,0,1,9:10 PM,11:09,,,Green REBOUND (Off:0 Def:1),,
8,42100406,15,2,1,1,9:10 PM,11:00,,,MISS Porter Jr. 26' 3PT Jump Shot,,
9,42100406,16,4,0,1,9:10 PM,10:57,Tatum REBOUND (Off:0 Def:1),,,,
10,42100406,17,1,79,1,9:10 PM,10:52,Brown 19' Pullup Jump Shot (2 PTS),,, 2 - 4,2
11,42100406,18,5,1,1,9:10 PM,10:37,Tatum STEAL (1 STL),,Wiggins Bad Pass Turnover (P1.T1),,
12,42100406,20,2,41,1,9:10 PM,10:34,MISS Tatum 5' Running Layup,,,,
13,42100406,21,4,0,1,9:10 PM,10:32,CELTICS Rebound,,,,
14,42100406,23,1,101,1,9:11 PM,10:24,Smart 10' Driving Floating Jump Shot (2 PTS) (Brown 1 AST),,, 2 - 6,4
15,42100406,25,2,80,1,9:11 PM,10:07,,,MISS Wiggins 19' Step Back Jump Shot,,
16,42100406,26,4,0,1,9:11 PM,10:04,Tatum REBOUND (Off:0 Def:2),,,,
17,42100406,27,1,1,1,9:11 PM,9:55,Brown 28' 3PT Jump Shot (5 PTS) (Smart 1 AST),,, 2 - 9,7
18,42100406,29,5,1,1,9:12 PM,9:37,Horford STEAL (1 STL),,Curry Bad Pass Turnover (P1.T2),,
19,42100406,31,1,1,1,9:12 PM,9:27,Tatum 25' 3PT Jump Shot (3 PTS) (Smart 2 AST),,, 2 - 12,10
20,42100406,33,9,1,1,9:12 PM,9:25,,,Warriors Timeout: Regular (Reg.1 Short 0),,
21,42100406,35,2,1,1,9:16 PM,9:12,,,MISS Thompson 25' 3PT Jump Shot,,
22,42100406,36,4,0,1,9:16 PM,9:09,Smart REBOUND (Off:0 Def:1),,,,
23,42100406,37,6,1,1,9:16 PM,8:58,,,Curry P.FOUL (P1.T2) (Z.Zarba),,
24,42100406,39,6,1,1,9:17 PM,8:57,,,Thompson P.FOUL (P2.T3) (J.Goble),,
25,42100406,41,5,1,1,9:17 PM,8:45,Brown Bad Pass Turnover (P1.T1),,Wiggins STEAL (1 STL),,
26,42100406,43,6,28,1,9:17 PM,8:45,Tatum Personal Take Foul (P1.T1) (J.Goble),,,,
27,42100406,45,8,0,1,9:18 PM,8:45,SUB: White FOR Williams III,,,,
28,42100406,46,8,0,1,9:18 PM,8:45,,,SUB: Looney FOR Porter Jr.,,
29,42100406,49,2,101,1,9:18 PM,8:24,,,MISS Curry 6' Driving Floating Jump Shot,,
30,42100406,50,4,0,1,9:18 PM,8:21,,,Looney REBOUND (Off:1 Def:0),,
31,42100406,51,2,47,1,9:18 PM,8:17,,,MISS Thompson 17' Turnaround Jump Shot,,
32,42100406,52,4,0,1,9:18 PM,8:13,Horford REBOUND (Off:0 Def:1),,,,
33,42100406,53,1,80,1,9:19 PM,8:03,Tatum 18' Step Back Jump Shot (5 PTS),,, 2 - 14,12
34,42100406,54,1,79,1,9:19 PM,7:48,,,Wiggins 27' 3PT Pullup Jump Shot (3 PTS) (Looney 1 AST), 5 - 14,9
35,42100406,56,2,1,1,9:19 PM,7:32,MISS Brown 26' 3PT Jump Shot,,,,
36,42100406,57,4,0,1,9:19 PM,7:29,,,Looney REBOUND (Off:1 Def:1),,
37,42100406,58,1,79,1,9:19 PM,7:17,,,Thompson 14' Pullup Jump Shot (2 PTS) (Green 1 AST), 7 - 14,7
38,42100406,60,2,6,1,9:20 PM,6:56,MISS Brown 5' Driving Layup,,,,
39,42100406,61,4,0,1,9:20 PM,6:55,,,Wiggins REBOUND (Off:0 Def:1),,
40,42100406,62,2,1,1,9:20 PM,6:48,,,MISS Thompson 27' 3PT Jump Shot,,
41,42100406,63,4,0,1,9:20 PM,6:46,Horford REBOUND (Off:0 Def:2),,,,
42,42100406,64,6,1,1,9:20 PM,6:35,,,Looney P.FOUL (P1.T4) (Z.Zarba),,
43,42100406,66,2,80,1,9:20 PM,6:27,MISS Tatum 26' 3PT Step Back Jump Shot,,,,
44,42100406,67,4,0,1,9:21 PM,6:25,,,Thompson REBOUND (Off:0 Def:1),,
45,42100406,68,2,1,1,9:21 PM,6:17,,,MISS Green 24' 3PT Jump Shot,,
46,42100406,69,4,0,1,9:21 PM,6:11,,,Wiggins REBOUND (Off:1 Def:1),,
47,42100406,70,5,2,1,9:21 PM,6:01,Smart STEAL (1 STL),,Wiggins Lost Ball Turnover (P2.T3),,
48,42100406,72,1,76,1,9:21 PM,5:57,White 1' Running Finger Roll Layup (2 PTS) (Brown 2 AST),,, 7 - 16,9
49,42100406,74,1,1,1,9:21 PM,5:40,,,Thompson 25' 3PT Jump Shot (5 PTS) (Green 2 AST), 10 - 16,6
50,42100406,76,5,40,1,9:22 PM,5:24,Tatum Out of Bounds Lost Ball Turnover (P1.T2),,,,
51,42100406,77,8,0,1,9:22 PM,5:24,SUB: Pritchard FOR Tatum,,,,
52,42100406,78,8,0,1,9:22 PM,5:24,SUB: Williams III FOR Horford,,,,
53,42100406,79,8,0,1,9:22 PM,5:24,,,SUB: Payton II FOR Thompson,,
54,42100406,83,2,79,1,9:22 PM,5:13,,,MISS Curry 31' 3PT Pullup Jump Shot,,
55,42100406,84,4,0,1,9:22 PM,5:10,Brown REBOUND (Off:0 Def:1),,,,
56,42100406,87,6,2,1,9:23 PM,4:53,,,Looney S.FOUL (P2.PN) (J.Goble),,
57,42100406,89,3,11,1,9:23 PM,4:53,Williams III Free Throw 1 of 2 (1 PTS),,, 10 - 17,7
58,42100406,90,8,0,1,9:23 PM,4:53,,,SUB: Poole FOR Wiggins,,
59,42100406,91,8,0,1,9:23 PM,4:53,,,SUB: Porter Jr. FOR Green,,
60,42100406,94,3,12,1,9:23 PM,4:53,Williams III Free Throw 2 of 2 (2 PTS),,, 10 - 18,8
61,42100406,95,1,75,1,9:24 PM,4:30,,,Curry 6' Driving Finger Roll Layup (2 PTS), 12 - 18,6
62,42100406,96,6,4,1,9:24 PM,4:20,Smart OFF.Foul (P1) (J.Goble),,,,
63,42100406,98,5,37,1,9:24 PM,4:20,Smart Offensive Foul Turnover (P1.T3),,,,
64,42100406,99,6,1,1,9:24 PM,4:15,Williams III P.FOUL (P1.T2) (D.Guthrie),,,,
65,42100406,101,1,102,1,9:25 PM,4:03,,,Poole 12' Driving Floating Bank Jump Shot (2 PTS) (Curry 2 AST),14 - 18,4
66,42100406,103,2,80,1,9:25 PM,3:39,MISS Pritchard 25' 3PT Step Back Jump Shot,,,,
