,Unnamed: 0,gameId,eventType,shotClock,gameClock,wallClock,period,homePlayers,awayPlayers,playerId,pbpId,Video
0,0,fac47ac5-7c4d-43be-904f-55d67d1893e3,TOUCH,24.0,719.56,1653180067479,1,"['ff411907-89ef-11e6-9c68-a45e60e298d3', '986b713a-b20b-4eb0-919e-c859d0508af7', 'a6904c1c-0dc5-41c8-a618-b3a276131726', '64c01255-432f-4e9b-a475-6f8c38e8e882', 'ff427c2e-89ef-11e6-8d2a-a45e60e298d3']","['ff41baca-89ef-11e6-8ca0-a45e60e298d3', '267de25c-42a5-403a-9fde-0be582ac053b', 'ff41f5c7-89ef-11e6-8f93-a45e60e298d3', 'ff41362b-89ef-11e6-babd-a45e60e298d3', '61fc6b15-5ce2-4613-a67b-f15bada3aa57']",64c01255-432f-4e9b-a475-6f8c38e8e882,,
1,1,fac47ac5-7c4d-43be-904f-55d67d1893e3,PASS,23.2,717.68,1653180069359,1,"['ff411907-89ef-11e6-9c68-a45e60e298d3', '986b713a-b20b-4eb0-919e-c859d0508af7', 'a6904c1c-0dc5-41c8-a618-b3a276131726', '64c01255-432f-4e9b-a475-6f8c38e8e882', 'ff427c2e-89ef-11e6-8d2a-a45e60e298d3']","['ff41baca-89ef-11e6-8ca0-a45e60e298d3', '267de25c-42a5-403a-9fde-0be582ac053b', 'ff41f5c7-89ef-11e6-8f93-a45e60e298d3', 'ff41362b-89ef-11e6-babd-a45e60e298d3', '61fc6b15-5ce2-4613-a67b-f15bada3aa57']",64c01255-432f-4e9b-a475-6f8c38e8e882,,
2,2,fac47ac5-7c4d-43be-904f-55d67d1893e3,TOUCH,23.1,717.6,1653180069439,1,"['ff411907-89ef-11e6-9c68-a45e60e298d3', '986b713a-b20b-4eb0-919e-c859d0508af7', 'a6904c1c-0dc5-41c8-a618-b3a276131726', '64c01255-432f-4e9b-a475-6f8c38e8e882', 'ff427c2e-89ef-11e6-8d2a-a45e60e298d3']","['ff41baca-89ef-11e6-8ca0-a45e60e298d3', '267de25c-42a5-403a-9fde-0be582ac053b', 'ff41f5c7-89ef-11e6-8f93-a45e60e298d3', 'ff41362b-89ef-11e6-babd-a45e60e298d3', '61fc6b15-5ce2-4613-a67b-f15bada3aa57']",a6904c1c-0dc5-41c8-a618-b3a276131726,,
3,3,fac47ac5-7c4d-43be-904f-55d67d1893e3,DRIBBLE,22.5,716.96,1653180070079,1,"['ff411907-89ef-11e6-9c68-a45e60e298d3', '986b713a-b20b-4eb0-919e-c859d0508af7', 'a6904c1c-0dc5-41c8-a618-b3a276131726', '64c01255-432f-4e9b-a475-6f8c38e8e882', 'ff427c2e-89ef-11e6-8d2a-a45e60e298d3']","['ff41baca-89ef-11e6-8ca0-a45e60e298d3', '267de25c-42a5-403a-9fde-0be582ac053b', 'ff41f5c7-89ef-11e6-8f93-a45e60e298d3', 'ff41362b-89ef-11e6-babd-a45e60e298d3', '61fc6b15-5ce2-4613-a67b-f15bada3aa57']",a6904c1c-0dc5-41c8-a618-b3a276131726,,
4,4,fac47ac5-7c4d-43be-904f-55d67d1893e3,DRIBBLE,21.8,716.24,1653180070799,1,"['ff411907-89ef-11e6-9c68-a45e60e298d3', '986b713a-b20b-4eb0-919e-c859d0508af7', 'a6904c1c-0dc5-41c8-a618-b3a276131726', '64c01255-432f-4e9b-a475-6f8c38e8e882', 'ff427c2e-89ef-11e6-8d2a-a45e60e298d3']","['ff41baca-89ef-11e6-8ca0-a45e60e298d3', '267de25c-42a5-403a-9fde-0be582ac053b', 'ff41f5c7-89ef-11e6-8f93-a45e60e298d3', 'ff41362b-89ef-11e6-babd-a45e60e298d3', '61fc6b15-5ce2-4613-a67b-f15bada3aa57']",a6904c1c-0dc5-41c8-a618-b3a276131726,,
5,5,fac47ac5-7c4d-43be-904f-55d67d1893e3,DRIBBLE,20.9,715.4,1653180071639,1,"['ff411907-89ef-11e6-9c68-a45e60e298d3', '986b713a-b20b-4eb0-919e-c859d0508af7', 'a6904c1c-0dc5-41c8-a618-b3a276131726', '64c01255-432f-4e9b-a475-6f8c38e8e882', 'ff427c2e-89ef-11e6-8d2a-a45e60e298d3']","['ff41baca-89ef-11e6-8ca0-a45e60e298d3', '267de25c-42a5-403a-9fde-0be582ac053b', 'ff41f5c7-89ef-11e6-8f93-a45e60e298d3', 'ff41362b-89ef-11e6-babd-a45e60e298d3', '61fc6b15-5ce2-4613-a67b-f15bada3aa57']",a6904c1c-0dc5-41c8-a618-b3a276131726,,
6,6,fac47ac5-7c4d-43be-904f-55d67d1893e3,DRIBBLE,19.8,714.28,1653180072759,1,"['ff411907-89ef-11e6-9c68-a45e60e298d3', '986b713a-b20b-4eb0-919e-c859d0508af7', 'a6904c1c-0dc5-41c8-a618-b3a276131726', '64c01255-432f-4e9b-a475-6f8c38e8e882', 'ff427c2e-89ef-11e6-8d2a-a45e60e298d3']","['ff41baca-89ef-11e6-8ca0-a45e60e298d3', '267de25c-42a5-403a-9fde-0be582ac053b', 'ff41f5c7-89ef-11e6-8f93-a45e60e298d3', 'ff41362b-89ef-11e6-babd-a45e60e298d3', '61fc6b15-5ce2-4613-a67b-f15bada3aa57']",a6904c1c-0dc5-41c8-a618-b3a276131726,,
7,7,fac47ac5-7c4d-43be-904f-55d67d1893e3,DRIBBLE,18.8,713.24,1653180073799,1,"['ff411907-89ef-11e6-9c68-a45e60e298d3', '986b713a-b20b-4eb0-919e-c859d0508af7', 'a6904c1c-0dc5-41c8-a618-b3a276131726', '64c01255-432f-4e9b-a475-6f8c38e8e882', 'ff427c2e-89ef-11e6-8d2a-a45e60e298d3']","['ff41baca-89ef-11e6-8ca0-a45e60e298d3', '267de25c-42a5-403a-9fde-0be582ac053b', 'ff41f5c7-89ef-11e6-8f93-a45e60e298d3', 'ff41362b-89ef-11e6-babd-a45e60e298d3', '61fc6b15-5ce2-4613-a67b-f15bada3aa57']",a6904c1c-0dc5-41c8-a618-b3a276131726,,
8,8,fac47ac5-7c4d-43be-904f-55d67d1893e3,DRIBBLE,16.6,711.04,1653180075999,1,"['ff411907-89ef-11e6-9c68-a45e60e298d3', '986b713a-b20b-4eb0-919e-c859d0508af7', 'a6904c1c-0dc5-41c8-a618-b3a276131726', '64c01255-432f-4e9b-a475-6f8c38e8e882', 'ff427c2e-89ef-11e6-8d2a-a45e60e298d3']","['ff41baca-89ef-11e6-8ca0-a45e60e298d3', '267de25c-42a5-403a-9fde-0be582ac053b', 'ff41f5c7-89ef-11e6-8f93-a45e60e298d3', 'ff41362b-89ef-11e6-babd-a45e60e298d3', '61fc6b15-5ce2-4613-a67b-f15bada3aa57']",a6904c1c-0dc5-41c8-a618-b3a276131726,,
9,9,fac47ac5-7c4d-43be-904f-55d67d1893e3,PASS,16.0,710.44,1653180076599,1,"['ff411907-89ef-11e6-9c68-a45e60e298d3', '986b713a-b20b-4eb0-919e-c859d0508af7', 'a6904c1c-0dc5-41c8-a618-b3a276131726', '64c01255-432f-4e9b-a475-6f8c38e8e882', 'ff427c2e-89ef-11e6-8d2a-a45e60e298d3']","['ff41baca-89ef-11e6-8ca0-a45e60e298d3', '267de25c-42a5-403a-9fde-0be582ac053b', 'ff41f5c7-89ef-11e6-8f93-a45e60e298d3', 'ff41362b-89ef-11e6-babd-a45e60e298d3', '61fc6b15-5ce2-4613-a67b-f15bada3aa57']",a6904c1c-0dc5-41c8-a618-b3a276131726,,
