,GAME_ID,EVENTNUM,EVENTMSGTYPE,EVENTMSGACTIONTYPE,PERIOD,WCTIMESTRING,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,SCORE,SCOREMARGIN
0,42100403,2,12,0,1,9:09 PM,12:00,,Start of 1st Period (9:09 PM EST),,,
1,42100403,4,10,0,1,9:09 PM,12:00,Jump Ball Williams III vs. Looney: Tip to Green,GSW,,,
2,42100403,7,1,5,1,9:09 PM,11:43,,,Looney 3' Layup (2 PTS), 2 - 0,-2
3,42100403,8,1,1,1,9:09 PM,11:27,Brown 27' 3PT Jump Shot (3 PTS) (Smart 1 AST),,, 2 - 3,1
4,42100403,10,2,1,1,9:09 PM,11:08,,,MISS Thompson 26' 3PT Jump Shot,,
5,42100403,11,4,0,1,9:09 PM,11:06,Tatum REBOUND (Off:0 Def:1),,,,
6,42100403,12,6,2,1,9:10 PM,11:03,,,Looney S.FOUL (P1.T1) (S.Foster),,
7,42100403,14,3,11,1,9:10 PM,11:03,MISS Tatum Free Throw 1 of 2,,,,
8,42100403,15,4,1,1,9:10 PM,11:03,CELTICS Rebound,,,,
9,42100403,16,3,12,1,9:11 PM,11:03,Tatum Free Throw 2 of 2 (1 PTS),,, 2 - 4,2
10,42100403,17,2,1,1,9:11 PM,10:51,,,MISS Wiggins 25' 3PT Jump Shot,,
11,42100403,18,4,0,1,9:11 PM,10:49,Brown REBOUND (Off:0 Def:1),,,,
12,42100403,19,1,1,1,9:11 PM,10:37,Horford 27' 3PT Jump Shot (3 PTS) (Brown 1 AST),,, 2 - 7,5
13,42100403,21,2,101,1,9:11 PM,10:27,,,MISS Curry 12' Driving Floating Jump Shot,,
14,42100403,22,4,0,1,9:11 PM,10:25,Horford REBOUND (Off:0 Def:1),,,,
15,42100403,23,2,1,1,9:12 PM,10:09,MISS Tatum 3PT Jump Shot,,,,
16,42100403,24,4,0,1,9:12 PM,10:08,Williams III REBOUND (Off:1 Def:0),,,,
17,42100403,25,1,1,1,9:12 PM,10:03,Brown 24' 3PT Jump Shot (6 PTS) (Horford 1 AST),,, 2 - 10,8
18,42100403,27,1,80,1,9:12 PM,9:38,,,Wiggins 18' Step Back Jump Shot (2 PTS) (Looney 1 AST), 4 - 10,6
19,42100403,29,6,1,1,9:13 PM,9:22,,,Curry P.FOUL (P1.T2) (S.Foster),,
20,42100403,31,2,80,1,9:13 PM,9:11,MISS Smart 26' 3PT Step Back Jump Shot,,,,
21,42100403,32,4,0,1,9:13 PM,9:09,Horford REBOUND (Off:1 Def:1),,,,
22,42100403,33,1,6,1,9:13 PM,9:02,Tatum 1' Driving Layup (3 PTS) (Horford 2 AST),,, 4 - 12,8
23,42100403,35,2,79,1,9:13 PM,8:53,,,MISS Thompson 18' Pullup Jump Shot,,
24,42100403,36,4,0,1,9:13 PM,8:51,Williams III REBOUND (Off:1 Def:1),,,,
25,42100403,37,6,26,1,9:14 PM,8:45,Brown Offensive Charge Foul (P1) (D.Guthrie),,,,
26,42100403,39,5,37,1,9:14 PM,8:45,Brown Offensive Foul Turnover (P1.T1),,,,
27,42100403,40,8,0,1,9:14 PM,8:45,SUB: White FOR Williams III,,,,
28,42100403,42,1,79,1,9:14 PM,8:37,,,Curry 25' 3PT Pullup Jump Shot (3 PTS), 7 - 12,5
29,42100403,43,1,86,1,9:14 PM,8:17,Smart 9' Turnaround Fadeaway (2 PTS),,, 7 -14,7
30,42100403,44,2,1,1,9:15 PM,8:09,,,MISS Green 24' 3PT Jump Shot,,
31,42100403,45,4,0,1,9:15 PM,8:06,White REBOUND (Off:0 Def:1),,,,
32,42100403,53,5,39,1,9:15 PM,8:05,White Step Out of Bounds Turnover (P1.T2),,,,
33,42100403,47,2,1,1,9:15 PM,7:57,,,MISS Thompson 24' 3PT Jump Shot,,
34,42100403,48,4,0,1,9:15 PM,7:54,,,Looney REBOUND (Off:1 Def:0),,
35,42100403,49,2,1,1,9:15 PM,7:50,,,MISS Wiggins 25' 3PT Jump Shot,,
36,42100403,50,4,0,1,9:15 PM,7:46,Smart REBOUND (Off:0 Def:1),,,,
37,42100403,51,2,101,1,9:15 PM,7:37,MISS Smart 6' Driving Floating Jump Shot,,,,
38,42100403,52,4,0,1,9:16 PM,7:35,,,Thompson REBOUND (Off:0 Def:1),,
39,42100403,54,6,26,1,9:16 PM,7:22,,,Wiggins Offensive Charge Foul (P1) (S.Foster),,
