,Unnamed: 0,gameId,eventType,shotClock,gameClock,wallClock,period,homePlayers,awayPlayers,playerId,pbpId,Video
0,0,9f9f8793-d8c4-4e27-b2fc-432698b7bc50,TOUCH,24.0,719.2,1655428068446,1,"['ff411907-89ef-11e6-9c68-a45e60e298d3', '986b713a-b20b-4eb0-919e-c859d0508af7', 'a6904c1c-0dc5-41c8-a618-b3a276131726', '79b83f96-5723-4219-b521-57de6111ee97', 'ff427c2e-89ef-11e6-8d2a-a45e60e298d3']","['ff4179a1-89ef-11e6-909f-a45e60e298d3', 'ff41a31e-89ef-11e6-8405-a45e60e298d3', 'ff4187ba-89ef-11e6-9d60-a45e60e298d3', 'ff420a7a-89ef-11e6-972c-a45e60e298d3', 'ff41a38c-89ef-11e6-b14d-a45e60e298d3']",ff411907-89ef-11e6-9c68-a45e60e298d3,,
1,1,9f9f8793-d8c4-4e27-b2fc-432698b7bc50,DRIBBLE,23.4,717.88,1655428069766,1,"['ff411907-89ef-11e6-9c68-a45e60e298d3', '986b713a-b20b-4eb0-919e-c859d0508af7', 'a6904c1c-0dc5-41c8-a618-b3a276131726', '79b83f96-5723-4219-b521-57de6111ee97', 'ff427c2e-89ef-11e6-8d2a-a45e60e298d3']","['ff4179a1-89ef-11e6-909f-a45e60e298d3', 'ff41a31e-89ef-11e6-8405-a45e60e298d3', 'ff4187ba-89ef-11e6-9d60-a45e60e298d3', 'ff420a7a-89ef-11e6-972c-a45e60e298d3', 'ff41a38c-89ef-11e6-b14d-a45e60e298d3']",ff411907-89ef-11e6-9c68-a45e60e298d3,,
2,2,9f9f8793-d8c4-4e27-b2fc-432698b7bc50,DRIBBLE,22.4,716.88,1655428070766,1,"['ff411907-89ef-11e6-9c68-a45e60e298d3', '986b713a-b20b-4eb0-919e-c859d0508af7', 'a6904c1c-0dc5-41c8-a618-b3a276131726', '79b83f96-5723-4219-b521-57de6111ee97', 'ff427c2e-89ef-11e6-8d2a-a45e60e298d3']","['ff4179a1-89ef-11e6-909f-a45e60e298d3', 'ff41a31e-89ef-11e6-8405-a45e60e298d3', 'ff4187ba-89ef-11e6-9d60-a45e60e298d3', 'ff420a7a-89ef-11e6-972c-a45e60e298d3', 'ff41a38c-89ef-11e6-b14d-a45e60e298d3']",ff411907-89ef-11e6-9c68-a45e60e298d3,,
3,3,9f9f8793-d8c4-4e27-b2fc-432698b7bc50,DRIBBLE,21.8,716.24,1655428071406,1,"['ff411907-89ef-11e6-9c68-a45e60e298d3', '986b713a-b20b-4eb0-919e-c859d0508af7', 'a6904c1c-0dc5-41c8-a618-b3a276131726', '79b83f96-5723-4219-b521-57de6111ee97', 'ff427c2e-89ef-11e6-8d2a-a45e60e298d3']","['ff4179a1-89ef-11e6-909f-a45e60e298d3', 'ff41a31e-89ef-11e6-8405-a45e60e298d3', 'ff4187ba-89ef-11e6-9d60-a45e60e298d3', 'ff420a7a-89ef-11e6-972c-a45e60e298d3', 'ff41a38c-89ef-11e6-b14d-a45e60e298d3']",ff411907-89ef-11e6-9c68-a45e60e298d3,,
4,4,9f9f8793-d8c4-4e27-b2fc-432698b7bc50,DRIBBLE,21.0,715.44,1655428072206,1,"['ff411907-89ef-11e6-9c68-a45e60e298d3', '986b713a-b20b-4eb0-919e-c859d0508af7', 'a6904c1c-0dc5-41c8-a618-b3a276131726', '79b83f96-5723-4219-b521-57de6111ee97', 'ff427c2e-89ef-11e6-8d2a-a45e60e298d3']","['ff4179a1-89ef-11e6-909f-a45e60e298d3', 'ff41a31e-89ef-11e6-8405-a45e60e298d3', 'ff4187ba-89ef-11e6-9d60-a45e60e298d3', 'ff420a7a-89ef-11e6-972c-a45e60e298d3', 'ff41a38c-89ef-11e6-b14d-a45e60e298d3']",ff411907-89ef-11e6-9c68-a45e60e298d3,,
5,5,9f9f8793-d8c4-4e27-b2fc-432698b7bc50,DRIBBLE,20.2,714.64,1655428073006,1,"['ff411907-89ef-11e6-9c68-a45e60e298d3', '986b713a-b20b-4eb0-919e-c859d0508af7', 'a6904c1c-0dc5-41c8-a618-b3a276131726', '79b83f96-5723-4219-b521-57de6111ee97', 'ff427c2e-89ef-11e6-8d2a-a45e60e298d3']","['ff4179a1-89ef-11e6-909f-a45e60e298d3', 'ff41a31e-89ef-11e6-8405-a45e60e298d3', 'ff4187ba-89ef-11e6-9d60-a45e60e298d3', 'ff420a7a-89ef-11e6-972c-a45e60e298d3', 'ff41a38c-89ef-11e6-b14d-a45e60e298d3']",ff411907-89ef-11e6-9c68-a45e60e298d3,,
6,6,9f9f8793-d8c4-4e27-b2fc-432698b7bc50,DRIBBLE,19.4,713.92,1655428073726,1,"['ff411907-89ef-11e6-9c68-a45e60e298d3', '986b713a-b20b-4eb0-919e-c859d0508af7', 'a6904c1c-0dc5-41c8-a618-b3a276131726', '79b83f96-5723-4219-b521-57de6111ee97', 'ff427c2e-89ef-11e6-8d2a-a45e60e298d3']","['ff4179a1-89ef-11e6-909f-a45e60e298d3', 'ff41a31e-89ef-11e6-8405-a45e60e298d3', 'ff4187ba-89ef-11e6-9d60-a45e60e298d3', 'ff420a7a-89ef-11e6-972c-a45e60e298d3', 'ff41a38c-89ef-11e6-b14d-a45e60e298d3']",ff411907-89ef-11e6-9c68-a45e60e298d3,,
7,7,9f9f8793-d8c4-4e27-b2fc-432698b7bc50,DRIBBLE,18.8,713.24,1655428074406,1,"['ff411907-89ef-11e6-9c68-a45e60e298d3', '986b713a-b20b-4eb0-919e-c859d0508af7', 'a6904c1c-0dc5-41c8-a618-b3a276131726', '79b83f96-5723-4219-b521-57de6111ee97', 'ff427c2e-89ef-11e6-8d2a-a45e60e298d3']","['ff4179a1-89ef-11e6-909f-a45e60e298d3', 'ff41a31e-89ef-11e6-8405-a45e60e298d3', 'ff4187ba-89ef-11e6-9d60-a45e60e298d3', 'ff420a7a-89ef-11e6-972c-a45e60e298d3', 'ff41a38c-89ef-11e6-b14d-a45e60e298d3']",ff411907-89ef-11e6-9c68-a45e60e298d3,,
8,8,9f9f8793-d8c4-4e27-b2fc-432698b7bc50,DRIBBLE,17.8,712.24,1655428075406,1,"['ff411907-89ef-11e6-9c68-a45e60e298d3', '986b713a-b20b-4eb0-919e-c859d0508af7', 'a6904c1c-0dc5-41c8-a618-b3a276131726', '79b83f96-5723-4219-b521-57de6111ee97', 'ff427c2e-89ef-11e6-8d2a-a45e60e298d3']","['ff4179a1-89ef-11e6-909f-a45e60e298d3', 'ff41a31e-89ef-11e6-8405-a45e60e298d3', 'ff4187ba-89ef-11e6-9d60-a45e60e298d3', 'ff420a7a-89ef-11e6-972c-a45e60e298d3', 'ff41a38c-89ef-11e6-b14d-a45e60e298d3']",ff411907-89ef-11e6-9c68-a45e60e298d3,,
9,9,9f9f8793-d8c4-4e27-b2fc-432698b7bc50,DRIBBLE,17.0,711.48,1655428076166,1,"['ff411907-89ef-11e6-9c68-a45e60e298d3', '986b713a-b20b-4eb0-919e-c859d0508af7', 'a6904c1c-0dc5-41c8-a618-b3a276131726', '79b83f96-5723-4219-b521-57de6111ee97', 'ff427c2e-89ef-11e6-8d2a-a45e60e298d3']","['ff4179a1-89ef-11e6-909f-a45e60e298d3', 'ff41a31e-89ef-11e6-8405-a45e60e298d3', 'ff4187ba-89ef-11e6-9d60-a45e60e298d3', 'ff420a7a-89ef-11e6-972c-a45e60e298d3', 'ff41a38c-89ef-11e6-b14d-a45e60e298d3']",ff411907-89ef-11e6-9c68-a45e60e298d3,,
