,GAME_ID,EVENTNUM,EVENTMSGTYPE,EVENTMSGACTIONTYPE,PERIOD,WCTIMESTRING,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,SCORE,SCOREMARGIN
0,42100304,2,12,0,1,8:41 PM,12:00,,Start of 1st Period (8:41 PM EST),,,
1,42100304,4,10,0,1,8:41 PM,12:00,Jump Ball Williams III vs. Adebayo: Tip to Lowry,MIA,,,
2,42100304,7,5,2,1,8:42 PM,11:38,White STEAL (1 STL),,Adebayo Lost Ball Turnover (P1.T1),,
3,42100304,9,1,2,1,8:42 PM,11:32,White 4' Running Jump Shot (2 PTS),,,0 - 2,2
4,42100304,10,6,1,1,8:42 PM,11:24,Tatum P.FOUL (P1.T1) (S.Foster),,,,
5,42100304,12,2,1,1,8:42 PM,11:16,,,MISS Adebayo 18' Jump Shot,,
6,42100304,13,4,0,1,8:43 PM,11:12,Williams III REBOUND (Off:0 Def:1),,,,
7,42100304,14,1,1,1,8:43 PM,10:57,White 28' 3PT Jump Shot (5 PTS) (Brown 1 AST),,,0 - 5,5
8,42100304,16,2,86,1,8:43 PM,10:33,,,MISS Butler 9' Turnaround Fadeaway Shot,,
9,42100304,17,4,0,1,8:43 PM,10:30,Horford REBOUND (Off:0 Def:1),,,,
10,42100304,18,5,40,1,8:43 PM,10:21,Brown Out of Bounds Lost Ball Turnover (P1.T1),,,,
11,42100304,19,2,78,1,8:44 PM,10:11,,,MISS Tucker 10' Floating Jump Shot,,
12,42100304,20,4,0,1,8:44 PM,10:08,Brown REBOUND (Off:0 Def:1),,,,
13,42100304,21,1,6,1,8:44 PM,10:01,White 2' Driving Layup (7 PTS),,,0 - 7,7
14,42100304,22,2,79,1,8:44 PM,9:45,,,MISS Strus 26' 3PT Pullup Jump Shot,,
15,42100304,23,4,0,1,8:44 PM,9:43,CELTICS Rebound,,,,
16,42100304,25,2,1,1,8:45 PM,9:23,MISS Brown 13' Jump Shot,,,,
17,42100304,26,4,0,1,8:45 PM,9:21,Williams III REBOUND (Off:1 Def:1),,,,
18,42100304,27,2,6,1,8:45 PM,9:19,MISS Brown 3' Driving Layup,,Lowry BLOCK (1 BLK),,
19,42100304,29,4,0,1,8:45 PM,9:18,,,Heat Rebound,,
20,42100304,31,2,6,1,8:45 PM,9:07,Horford BLOCK (1 BLK),,MISS Butler 7' Driving Layup,,
21,42100304,33,4,0,1,8:45 PM,9:05,,,Tucker REBOUND (Off:1 Def:0),,
22,42100304,34,5,1,1,8:45 PM,9:00,White STEAL (2 STL),,Lowry Bad Pass Turnover (P1.T2),,
23,42100304,36,2,1,1,8:45 PM,8:54,MISS Brown 26' 3PT Jump Shot,,,,
24,42100304,37,4,0,1,8:45 PM,8:52,Tatum REBOUND (Off:1 Def:0),,,,
25,42100304,38,2,6,1,8:45 PM,8:47,MISS Brown 4' Driving Layup,,,,
26,42100304,39,4,0,1,8:45 PM,8:45,,,Lowry REBOUND (Off:0 Def:1),,
27,42100304,40,2,102,1,8:45 PM,8:41,,,MISS Butler 7' Driving Floating Bank Jump Shot,,
28,42100304,41,4,0,1,8:45 PM,8:39,White REBOUND (Off:0 Def:1),,,,
29,42100304,43,6,2,1,8:46 PM,8:32,,,Adebayo S.FOUL (P1.T1) (K.Fitzgerald),,
30,42100304,45,3,11,1,8:46 PM,8:32,MISS Tatum Free Throw 1 of 2,,,,
31,42100304,46,4,1,1,8:46 PM,8:32,CELTICS Rebound,,,,
32,42100304,47,3,12,1,8:46 PM,8:32,Tatum Free Throw 2 of 2 (1 PTS),,,0 - 8,8
33,42100304,48,2,79,1,8:47 PM,8:21,,,MISS Lowry 20' Pullup Jump Shot,,
34,42100304,49,4,0,1,8:47 PM,8:19,Williams III REBOUND (Off:1 Def:2),,,,
35,42100304,50,2,80,1,8:47 PM,8:07,MISS Brown 26' 3PT Step Back Jump Shot,,,,
36,42100304,51,4,0,1,8:47 PM,8:05,,,Butler REBOUND (Off:0 Def:1),,
37,42100304,52,6,2,1,8:47 PM,7:56,Horford S.FOUL (P1.T2) (S.Foster),,,,
38,42100304,54,3,11,1,8:48 PM,7:56,,,MISS Adebayo Free Throw 1 of 2,,
39,42100304,55,4,1,1,8:48 PM,7:56,,,Heat Rebound,,
40,42100304,56,3,12,1,8:48 PM,7:56,,,Adebayo Free Throw 2 of 2 (1 PTS), 1 - 8,7
41,42100304,57,1,52,1,8:48 PM,7:37,Williams III 3' Alley Oop Dunk (2 PTS) (Horford 1 AST),,, 1 - 10,9
42,42100304,59,6,1,1,8:49 PM,7:16,Brown P.FOUL (P1.T3) (S.Foster),,,,
43,42100304,61,2,101,1,8:49 PM,7:08,,,MISS Strus 12' Driving Floating Jump Shot,,
44,42100304,62,4,0,1,8:49 PM,7:06,Tatum REBOUND (Off:1 Def:1),,,,
45,42100304,63,1,41,1,8:49 PM,7:03,Tatum 2' Running Layup (3 PTS),,, 1 - 12,11
46,42100304,64,6,2,1,8:49 PM,7:03,,,Lowry S.FOUL (P1.T2) (S.Foster),,
47,42100304,66,3,10,1,8:50 PM,7:03,MISS Tatum Free Throw 1 of 1,,,,
48,42100304,67,4,0,1,8:50 PM,7:02,Horford REBOUND (Off:1 Def:1),,,,
49,42100304,68,2,1,1,8:50 PM,6:55,MISS White 3PT Jump Shot,,,,
50,42100304,69,4,0,1,8:50 PM,6:53,,,Lowry REBOUND (Off:0 Def:2),,
51,42100304,70,6,1,1,8:50 PM,6:44,Brown P.FOUL (P2.T4) (P.Fraher),,,,
52,42100304,72,9,1,1,8:50 PM,6:44,CELTICS Timeout: Regular (Full 1 Short 0),,,,
53,42100304,73,8,0,1,8:52 PM,6:44,SUB: Pritchard FOR Brown,,,,
54,42100304,74,8,0,1,8:52 PM,6:44,SUB: Williams FOR Williams III,,,,
55,42100304,77,2,79,1,8:54 PM,6:29,,,MISS Lowry 22' Pullup Jump Shot,,
56,42100304,78,4,0,1,8:54 PM,6:27,Horford REBOUND (Off:1 Def:2),,,,
57,42100304,79,1,79,1,8:54 PM,6:17,Tatum 13' Pullup Jump Shot (5 PTS),,, 1 - 14,13
58,42100304,99,2,6,1,8:55 PM,5:53,,,MISS Strus 6' Driving Layup,,
59,42100304,101,4,0,1,8:55 PM,5:52,Pritchard REBOUND (Off:0 Def:1),,,,
60,42100304,83,1,106,1,8:55 PM,5:47,Tatum 3' Running Alley Oop Dunk Shot (7 PTS) (White 1 AST),,, 1 -16,15
61,42100304,85,2,79,1,8:55 PM,5:35,,,MISS Butler 18' Pullup Jump Shot,,
62,42100304,86,4,0,1,8:55 PM,5:33,Tatum REBOUND (Off:1 Def:2),,,,
63,42100304,87,6,2,1,8:55 PM,5:14,,,Butler S.FOUL (P1.T3) (S.Foster),,
64,42100304,89,3,11,1,8:56 PM,5:14,Tatum Free Throw 1 of 2 (8 PTS),,, 1 - 16,16
65,42100304,90,8,0,1,8:56 PM,5:14,,,SUB: Vincent FOR Lowry,,
66,42100304,91,8,0,1,8:56 PM,5:14,,,SUB: Oladipo FOR Adebayo,,
67,42100304,92,8,0,1,8:56 PM,5:14,,,SUB: Dedmon FOR Strus,,
68,42100304,96,3,12,1,8:56 PM,5:14,Tatum Free Throw 2 of 2 (9 PTS),,, 1 - 18,17
69,42100304,97,2,79,1,8:57 PM,4:59,,,MISS Vincent 19' Pullup Jump Shot,,
70,42100304,98,4,0,1,8:57 PM,4:55,Horford REBOUND (Off:1 Def:3),,,,
71,42100304,102,2,1,1,8:57 PM,4:46,MISS White 3PT Jump Shot,,,,
72,42100304,103,4,0,1,8:57 PM,4:44,,,Oladipo REBOUND (Off:0 Def:1),,
73,42100304,106,2,78,1,8:57 PM,4:34,,,MISS Dedmon 8' Floating Jump Shot,,
74,42100304,107,4,0,1,8:57 PM,4:32,Tatum REBOUND (Off:1 Def:3),,,,
75,42100304,108,2,79,1,8:57 PM,4:26,MISS Tatum 28' 3PT Pullup Jump Shot,,,,
76,42100304,109,4,0,1,8:57 PM,4:25,,,Heat Rebound,,
77,42100304,111,2,79,1,8:58 PM,4:03,,,MISS Vincent 21' Pullup Jump Shot,,
78,42100304,112,4,0,1,8:58 PM,4:01,Horford REBOUND (Off:1 Def:4),,,,
79,42100304,113,2,1,1,8:58 PM,3:44,MISS Williams 3PT Jump Shot,,,,
80,42100304,114,4,0,1,8:58 PM,3:42,Horford REBOUND (Off:2 Def:4),,,,
81,42100304,115,5,2,1,8:58 PM,3:33,White Lost Ball Turnover (P1.T2),,Tucker STEAL (1 STL),,
82,42100304,117,1,1,1,8:58 PM,3:22,,,Oladipo 25' 3PT Jump Shot (3 PTS) (Tucker 1 AST), 4 - 18,14
